index	word	hiragana	meaning	meaning2	sentence	sentence meaning	group	level	set
97	暖かい	あたたかい	warm		このコートはとても<b>暖かい</b>。	This coat is really warm.	JLPT4	1	3
100	古い	ふるい	old		私は<b>古い</b>車が好きです。	I like old cars.	JLPT4	1	10
101	悪い	わるい	bad		たばこは体に<b>悪い</b>。	Cigarettes are bad for your health.	JLPT4	1	2
102	思う	おもう	think		私もそう<b>思います</b>。	I think so too.	JLPT3	10	3
105	考える	かんがえる	think	consider	よく<b>考えて</b>ください。	Please think carefully.	JLPT3	10	9
106	決める	きめる	decide	agree upon	帰国することに<b>決めました</b>。	I've decided to go back to my country.	JLPT3	10	6
107	高い	たかい	high	tall	これがこの町で一番<b>高い</b>ビルです。	This is the tallest building in town.	JLPT4	1	3
108	多い	おおい	lots of		京都にはお寺が<b>多い</b>。	There are a lot of temples in Kyoto.	JLPT3	10	5
109	午後	ごご	afternoon	p.m.	明日の<b>午後</b>、お客様が来る。	A guest is coming to visit tomorrow afternoon.	JLPT4	1	2
110	重い	おもい	heavy		このかばんは<b>重い</b>です。	This bag is heavy.	JLPT4	1	5
111	九日	ここのか	nine days	9th of the month	<b>九日</b>に荷物が届きます。	The package will arrive on the ninth.	JLPT4	1	7
111	コメント	コメント	comment		今日[きょう]はユーザーからの<b>コメント</b>はなかった。	There was no comment from users today.	3k 	3	1
112	待つ	まつ	wait	wait for	あなたが来るのを<b>待っています</b>。	I am waiting for you to come.	JLPT4	1	9
113	二日	ふつか	two days	2nd of the month	私は<b>二日</b>待った。	I waited two days.	JLPT4	1	6
114	持つ	もつ	have	possess	私は車を<b>持っています</b>。	I have a car.	JLPT4	1	1
115	朝	あさ	morning		気持ちのいい<b>朝</b>です。	It's a pleasant morning.	JLPT4	1	6
116	先生	せんせい	teacher		私は日本語の<b>先生</b>になりたいです。	I want to become a Japanese teacher.	JLPT4	1	5
117	電車	でんしゃ	train		私は<b>電車</b>で通学しています。	I go to school by train.	JLPT4	1	10
118	四	し	four		<b>四</b>月に大学に入学しました。	I entered my university in April.	JLPT4	1	9
119	遠い	とおい	far	distant	家から学校までは<b>遠い</b>です。	It's a long way from my house to the school.	JLPT4	1	6
120	名前	なまえ	name		あなたの<b>名前</b>を教えてください。	Please tell me your name.	JLPT4	1	2
120	くれる	くれる	be given		友達[ともだち]が 誕生[たんじょう] 日[び]プレゼントを<b>くれた</b>。	My friend gave me a birthday present.	1k 	1	1
121	大学	だいがく	university	college	<b>大学</b>に行ってもっと勉強したいです。	I want to go to college and study more.	JLPT4	1	2
122	勉強	べんきょう	study		私は日本語を<b>勉強</b>しています。	I'm studying Japanese.	JLPT4	1	1
123	強い	つよい	strong		今日は風が<b>強い</b>。	There's a strong wind today.	JLPT4	1	3
124	弱い	よわい	weak		その子は体が少し<b>弱い</b>。	That child has a somewhat weak constitution.	JLPT3	10	3
125	ここ	ここ	here		<b>ここ</b>に 本[ほん]があります。	There's a book here.	1k	1	2
125	引く	ひく	draw	pull	このドアは<b>引いて</b>ください。	Please pull this door open.	JLPT4	1	3
126	質問	しつもん	question		<b>質問</b>のある方はどうぞ。	Please feel free to ask any questions.	JLPT4	1	9
127	難しい	むずかしい	difficult		この本は<b>難しい</b>ですね。	This book is difficult.	JLPT4	1	3
128	取る	とる	take	get	テストでいい点を<b>取った</b>。	I got a good grade on the test.	JLPT4	1	10
129	数	かず	number		グラスの<b>数</b>が足りません。	There are not enough glasses.	JLPT2	20	8
130	二	に	two		その人には<b>二</b>回会った。	I met that person twice.	JLPT4	1	6
131	四	よん	four		ハワイは<b>四</b>回目です。	This is my fourth trip to Hawaii.	JLPT2	20	9
132	八	はち	eight		りんごを<b>八</b>個ください。	Please give me eight apples.	JLPT4	1	1
133	勝つ	かつ	win		今日はヤンキースが<b>勝った</b>。	The Yankees won today.	JLPT3	10	2
134	負ける	まける	lose		私たちのチームはその試合で<b>負けた</b>。	Our team lost the game.	JLPT3	10	2
135	後	のち	after	afterward	<b> 後[のち]</b>に 彼[かれ]は 総理[そうり] 大臣[だいじん]になりました。	He would later become Prime Minister.	1k	6	4
135	本当に	ほんとうに	really	truly	あなたが<b>本当に</b>好きです。	I really like you.	JLPT0	5	9
136	他	ほか	other		<b>他</b>に方法がありません。	There's no other way.	JLPT2	20	4
137	時計	とけい	clock	watch	<b>時計</b>を見たらちょうど3時だった。	I looked at the clock and it was exactly three.	JLPT4	1	4
138	八つ	やっつ	eight (things)		あの家には時計が<b>八つ</b>あります。	There are eight clocks in that house.	JLPT4	1	2
139	払う	はらう	pay		私が<b>払いましょう</b>。	Let me pay for that.	JLPT3	10	5
140	千	せん	thousand		<b>千</b>円貸してください。	Please lend me 1000 yen.	JLPT4	1	5
141	四日	よっか	four days	4th of the month	新学期は来月の<b>四日</b>からです。	The new school term starts on the fourth of next month.	JLPT4	1	3
142	買う	かう	buy		郵便局で切手を<b>買いました</b>。	I bought a stamp at the post office.	JLPT4	1	8
143	十	じゅう	ten		その子は指で<b>十</b>数えました。	The child counted to ten on her fingers.	JLPT4	1	9
144	要る	いる	need	require	予約は<b>要りません</b>。	Reservations are not required.	JLPT4	1	2
145	もう	もう	another	again	コーヒーを<b>もう</b> 一杯[いっぱい]ください。	Please give me another cup of coffee.	1k	1	3
145	もう	もう	already	yet	彼[かれ]は<b>もう</b> 帰[かえ]りました。	He's already gone home.	1k	1	1
145	忘れる	わすれる	forget	leave behind	約束を<b>忘れないで</b>ください。	Please don't forget your promise.	JLPT4	1	5
146	乗る	のる	ride	take	駅からはタクシーに<b>乗って</b>ください。	Please take a taxi from the station.	JLPT4	1	2
147	着る	きる	wear	put on	今日はスーツを<b>着ています</b>。	I'm wearing a suit today.	JLPT4	1	10
147	バック	バック	back	reverse	車[くるま]のギアを<b>バック</b>に 入[い]れたよ。	I put the car into reverse gear.	4k	4	7
149	次	つぎ	next		<b>次</b>はいつ会いましょうか。	When shall we meet again?	JLPT4	1	9
151	動く	うごく	move		<b>動かないで</b>。	Freeze!	JLPT3	10	10
152	トラック	トラック	truck		<b>トラック</b>を 運転[うんてん]できますか。	Can you drive a truck?	1k	1	9
152	出る	でる	go out	leave	今朝は早く家を<b>出ました</b>。	I left the house early this morning.	JLPT4	1	9
153	早い	はやい	early		まだ学校へ行くには<b>早い</b>時間です。	It's still too early to go to school.	JLPT4	1	8
154	時	とき	time		<b>時</b>の経つのは早い。	Time passes by quickly.	JLPT2	20	1
155	遅い	おそい	slow	late	前の車はとても<b>遅い</b>。	The car in front is very slow.	JLPT4	1	9
156	始める	はじめる	begin	start	テストを<b>始めて</b>ください。	Please start the test.	JLPT3	10	7
157	学校	がっこう	school		<b>学校</b>は8時半に始まります。	School starts at 8:30.	JLPT4	1	1
158	一	いち	one		<b>一</b>から始めましょう。	Let's start from the beginning.	JLPT4	1	9
159	年	とし	year	age	新しい<b>年</b>が始まりました。	A new year has started.	JLPT3	10	4
160	大	だい	big	large size	チーズケーキの<b> 大[だい]</b>を 一[ひと]つ 下[くだ]さい。	Please give me a slice of the large-size cheesecake.	3k	1	1
160	始まる	はじまる	begin		新しい仕事が<b>始まりました</b>。	My new job started.	JLPT4	1	6
162	終わり	おわり	end	conclusion	夏休みももう<b>終わり</b>だ。	Summer vacation's already over.	JLPT3	10	10
163	去年	きょねん	last year		私は<b>去年</b>フランスへ行った。	I went to France last year.	JLPT4	1	1
164	切る	きる	cut		この紙を半分に<b>切って</b>ください。	Please cut this paper in half.	JLPT4	1	10
165	三日	みっか	three days	3rd of the month	手紙が届くのに<b>三日</b>かかりました。	It took three days for the letter to arrive.	JLPT4	1	1
166	見る	みる	see	look at	私は絵を<b>見る</b>のが好きです。	I like looking at pictures.	JLPT4	1	10
167	楽しむ	たのしむ	enjoy		今日は一人の時間を<b>楽しみたい</b>。	Today I would like to enjoy some time to myself.	JLPT0	5	7
168	飲み物	のみもの	beverage	drink	何か<b>飲み物</b>が欲しいな。	I could really use something to drink.	JLPT4	1	3
168	法	ほう	law	rule	国民[こくみん]は<b> 法[ほう]</b>に 従[したが]わなければならないよ。	Citizens must obey the law.	4k	15	1
170	見せる	みせる	show		その写真を<b>見せて</b>ください。	Please show me those pictures.	JLPT4	1	1
171	色	いろ	color		すてきな<b>色</b>のセーターですね。	That sweater is a wonderful color.	JLPT4	1	6
173	書き直す	かきなおす	rewrite		この書類を<b>書き直して</b>ください。	Please rewrite this document.	JLPT0	5	1
173	よる	よる	be based on	depend on	人[ひと]は 見[み]かけに<b>よらない</b>な。	We can't judge people based on their appearance.	6k 	6	9
173	因る	よる	be caused by	be due to	彼[かれ]の 病気[びょうき]は 過労[かろう]に<b>よる</b>ものです。	His illness is due to overwork.	5k 	5	9
174	直る	なおる	be repaired	return to normal	クーラーはまだ<b>直りません</b>。	The air conditioner hasn't been repaired yet.	JLPT3	10	9
175	道	みち	road	street	この<b>道</b>を真っ直ぐ行くと駅です。	Go straight along this road to get to the station.	JLPT4	1	9
176	線	せん	line		赤い<b>線</b>を2本引いて下さい。	Please draw two red lines.	JLPT3	10	3
177	曲がる	まがる	turn		そこを左に<b>曲がって</b>ください。	Please turn left there.	JLPT0	5	9
178	左	ひだり	left		そこを<b>左</b>に曲がってください。	Please turn left there.	JLPT4	1	7
179	曜日	ようび	day of the week		<b>曜日</b>を間違えました。	I got the day of the week wrong.	JLPT2	20	6
179	企業	きぎょう	corporation	business	彼女[かのじょ]はアメリカの<b> 企業[きぎょう]</b>で 働[はたら]いています。	She works at an American company.	1k	21	9
180	今年	ことし	this year		<b>今年</b>はイタリアに旅行したい。	I want to travel to Italy this year.	JLPT4	1	4
181	ちょっと	ちょっと	just a moment	just a little	<b>ちょっと</b>だけ 待[ま]っていてください。	Please wait here for a little while.	1k	1	3
181	五	ご	five		<b>五</b>人で旅行に行きました。	Five of us went on a trip.	JLPT4	1	1
182	行く	いく	go		日曜日は図書館に<b>行きます</b>。	I go to the library on Sundays.	JLPT4	1	6
183	図書館	としょかん	library		<b>図書館</b>で料理の本を借りた。	I borrowed a cookbook from the library.	JLPT4	1	6
184	未だ	まだ	yet	more	宿題は<b>未だ</b>終わっていません。	I haven't finished my homework yet.	JLPT2	20	10
185	ところ	ところ	place		私は友達の<b>ところ</b>に泊まった。	I stayed at my friend's place for the night.	JLPT0	5	8
186	泊まる	とまる	stay overnight		今日はこのホテルに<b>泊まります</b>。	I'm staying at this hotel today.	JLPT3	10	9
187	家	うち	house	home	<b>家</b>に遊びに来てください。	Please come over to my house.	JLPT2	20	7
188	安い	やすい	inexpensive	cheap	この服はとても<b>安かった</b>。	These clothes were very cheap.	JLPT4	1	4
189	服	ふく	clothes		昨日、新しい<b>服</b>を買った。	I bought some new clothes yesterday.	JLPT4	1	7
190	開ける	あける	open	unlock	窓を<b>開けて</b>ください。	Please open the window.	JLPT4	1	6
191	お父さん	おとうさん	father		<b>お父さん</b>は会社員です。	My father's a company employee.	JLPT4	1	5
192	父	ちち	(speaker's)father		私は<b>父</b>が大好きです。	I love my father.	JLPT4	1	8
193	話す	はなす	speak	tell	母と電話で<b>話しました</b>。	I spoke to my mother on the phone.	JLPT4	1	5
194	母	はは	(speaker's)mother		昨日、<b>母</b>と話をしました。	I talked to my mother yesterday.	JLPT4	1	8
195	働く	はたらく	work		姉は銀行で<b>働いています</b>。	My big sister works at a bank.	JLPT4	1	7
196	姉	あね	older sister		<b>姉</b>は大学生です。	My big sister's a college student.	JLPT4	1	1
197	大学生	だいがくせい	university student		姉は<b>大学生</b>です。	My big sister's a college student.	JLPT3	10	3
198	お姉さん	おねえさん	older sister		昨日、あなたの<b>お姉さん</b>に会ったよ。	I met your older sister yesterday.	JLPT4	1	9
199	上手	じょうず	good	skilled	妹は歌が<b>上手</b>です。	My little sister can sing.	JLPT4	1	4
200	妹	いもうと	younger sister		私の<b>妹</b>は小学生です。	My little sister goes to elementary school.	JLPT4	1	8
201	お兄さん	おにいさん	older brother		あなたの<b>お兄さん</b>は何歳?	How old's your big brother?	JLPT4	1	8
202	車	くるま	car	automobile	弟が<b>車</b>を買った。	My younger brother bought a car.	JLPT4	1	4
203	高校生	こうこうせい	high school student		私の弟は<b>高校生</b>です。	My little brother's a high school student.	JLPT3	10	7
204	娘	むすめ	daughter	girl	私の<b>娘</b>はアメリカにいます。	My daughter is in the United States.	JLPT3	10	10
205	九つ	ここのつ	nine (things)		娘は明日<b>九つ</b>になります。	My daughter's turning nine tomorrow.	JLPT4	1	1
206	息子	むすこ	son		うちの<b>息子</b>は大学1年生です。	My son's a college freshman.	JLPT3	10	10
206	あなた	あなた	you		これは<b>あなた</b>のかばんですか。	Is this your bag?	1k	1	2
207	六つ	むっつ	six (things)		息子は<b>六つ</b>になりました。	My son turned six.	JLPT4	1	1
208	女	おんな	woman	girl	店員は若い<b>女</b>の人でした。	The salesclerk was a young woman.	JLPT4	1	7
208	もらう	もらう	receive		彼女[かのじょ]からプレゼントを<b>もらいました</b>。	I got a present from her.	1k	1	2
209	そこ	そこ	there		<b>そこ</b>に 座[すわ]ってください。	Please sit there.	1k	1	1
209	新しい	あたらしい	new		彼の車は<b>新しい</b>。	His car is new.	JLPT4	1	6
210	今	いま	now		彼は<b>今</b>、勉強しています。	He's studying now.	JLPT4	1	1
212	学生	がくせい	student		彼は真面目な<b>学生</b>です。	He's a serious student.	JLPT4	1	2
214	彼女	かのじょ	she	one's girlfriend	<b>彼女</b>はOLです。	She's an office worker.	JLPT3	10	10
214	度	ど	degree	extent	彼[かれ]の 無神経[むしんけい]さは<b> 度[ど]</b>が 過[す]ぎている	His callousness has gone too far.	7k	9	3
215	聞く	きく	hear	ask	彼女はラジオを<b>聞いています</b>。	She's listening to the radio.	JLPT4	1	4
216	若い	わかい	young		彼はまだ<b>若い</b>です。	He's still young.	JLPT4	1	1
218	住む	すむ	live	reside	彼は会社の近くに<b>住んでいる</b>。	He lives near his office.	JLPT4	1	7
219	立つ	たつ	stand	rise	彼はステージに<b>立った</b>。	He stood on stage.	JLPT4	1	9
220	気持ち	きもち	feeling	sensation	彼の<b>気持ち</b>が分からない。	I don't understand his feelings.	JLPT3	10	2
221	広い	ひろい	wide	big	彼の家はとても<b>広い</b>。	His house is very big.	JLPT4	1	8
222	走る	はしる	run		彼は毎晩3キロ<b>走っています</b>。	Every night he runs three kilometers.	JLPT4	1	6
223	売る	うる	sell		彼は家を<b>売った</b>。	He sold the house.	JLPT4	1	3
224	教える	おしえる	teach	tell	彼は数学を<b>教えています</b>。	He teaches mathematics.	JLPT4	1	5
225	送る	おくる	send		彼の家に荷物を<b>送りました</b>。	I sent a package to his house.	JLPT3	10	2
226	書く	かく	write		彼に手紙を<b>書きました</b>。	I wrote him a letter.	JLPT4	1	2
228	足	あし	leg	foot	彼は<b>足</b>が長い。	He has long legs.	JLPT4	1	1
229	まだ	まだ	not yet	still	宿題[しゅくだい]は<b>まだ</b> 終[お]わっていません。	I haven't finished my homework yet.	1k	1	1
229	出来る	できる	can do	be good at	彼女はイタリア語が<b>出来ます</b>。	She knows Italian.	JLPT0	5	9
230	短い	みじかい	short	brief	彼は足が<b>短い</b>。	His legs are short.	JLPT4	1	8
232	読む	よむ	read		彼女は雑誌を<b>読んでいます</b>。	She's reading the magazine.	JLPT4	1	4
234	速い	はやい	fast		彼は走るのが<b>速い</b>。	He runs fast.	JLPT4	1	5
235	耳	みみ	ear	hearing	彼女は<b>耳</b>がよく聞こえません。	Her hearing isn't very good.	JLPT4	1	4
236	ただ	ただ	free		この 温泉[おんせん]は<b>ただ</b>です。	This hot spring bathhouse is free.	1k	1	4
236	上げる	あげる	raise	improve	彼は荷物をあみだなに<b>上げた</b>。	He put the luggage on the luggage rack.	JLPT4	1	4
236	ただ	ただ	simply	merely	私[わたし]は<b>ただ</b> 彼女[かのじょ]と 話[はな]したかっただけです。	I simply wanted to talk to her.	4k	4	7
237	楽しい	たのしい	fun	enjoyable	彼はとても<b>楽しい</b>人です。	He's very fun to be with.	JLPT4	1	4
237	サイト	サイト	website		新[あたら]しいゲーム<b>サイト</b>に 登録[とうろく]した。	I signed up for a new game site.	2k	2	10
239	三	さん	three		彼女は<b>三</b>人の子供の母親だ。	She's the mother of three children.	JLPT4	1	7
240	来る	くる	come		彼は昼過ぎに<b>来ます</b>。	He'll come after lunch.	JLPT4	1	1
241	良い	いい	good		彼女は<b>良い</b>友達です。	She's a good friend.	JLPT0	5	5
242	方	ほう	direction	side	彼は私の<b>方</b>を見ました。	He looked at me.	JLPT2	20	1
243	目	め	eye		彼女は青い<b>目</b>をしています。	She has blue eyes.	JLPT4	1	6
244	六	ろく	six		彼には子供が<b>六</b>人います。	He has six children.	JLPT4	1	10
245	秋	あき	autumn	fall	彼女は<b>秋</b>に結婚します。	She'll get married this fall.	JLPT4	1	3
246	結婚	けっこん	marriage		彼女は来月<b>結婚</b>します。	She's getting married next month.	JLPT4	1	1
246	利用	りよう	utilization	usage	私[わたし]はよく 図書館[としょかん]を<b> 利用[りよう]</b>します。	I often go to the library.	1k	11	9
247	日	にち	day		私たちは先月11<b>日</b>に結婚しました。	We got married last month on the 11th.	JLPT2	20	9
248	自転車	じてんしゃ	bicycle		毎日、駅まで<b>自転車</b>で行きます。	I go to the station by bike every day.	JLPT4	1	2
249	自分	じぶん	self	oneself	宿題は<b>自分</b>でやりなさい。	Do your homework by yourself.	JLPT4	1	8
251	終わる	おわる	finish	end	会議は4時に<b>終わります</b>。	The conference ends at four o'clock.	JLPT0	5	3
